id_cliente,idade,renda_mensal,tempo_emprego_anos,autonomo,score_credito,valor_solicitado,prazo_meses,juros_mensal_pct,qtde_cartoes,qtde_contratos_abertos,utilizacao_credito,inadimplencias_anteriores,dias_atraso_max_12m,reclamacoes_6m,possui_avalista,canal_aquisicao,regiao,tipo_produto,parcelas_pagas_ate_3m,atraso_primeira_parcela_dias,status_apos_90d,default_90d
64,69,2779.91,,1,548.0,6588.69,36,4.0,1,0,0.438,2,60,0,0,app,Sudeste,cartao,1,78,default,1
65,39,2229.25,7.415205065726612,1,638.0,24130.06,48,3.1,1,0,0.487,0,15,3,1,site,Sul,bnpl,0,79,default,1
66,35,12589.19,0.0,0,618.0,6497.95,18,3.5,1,2,0.676,0,0,3,0,site,Nordeste,emprestimo_pessoal,3,0,em_dia,0
67,65,4116.14,8.193427460533556,0,593.0,5662.33,24,3.21,0,0,0.515,0,0,0,0,app,Sudeste,emprestimo_pessoal,3,0,em_dia,0
68,37,6400.8,4.334039630262705,0,661.0,3708.01,18,3.91,0,0,0.137,0,0,1,0,loja,Sudeste,cartao,3,0,em_dia,0
69,22,3840.37,5.341592771150845,0,605.0,8269.85,6,2.99,0,1,0.182,1,5,0,0,loja,Sul,cartao,3,0,em_dia,0
70,42,2254.38,3.9140384489207407,0,619.0,8309.65,9,3.88,2,1,0.367,1,0,0,1,app,Sudeste,emprestimo_pessoal,0,109,default,1
71,60,3528.95,9.308958385191456,0,674.0,15028.42,60,2.33,1,1,0.493,0,0,0,0,app,Nordeste,bnpl,3,0,em_dia,0
72,28,10275.46,2.097229516670657,0,593.0,8468.96,6,2.58,1,0,0.261,0,15,0,0,parceiro,Sul,emprestimo_pessoal,2,15,em_dia,0
73,42,5307.88,5.9003738430468005,0,641.0,47430.79,18,2.03,0,0,0.482,1,15,0,1,loja,Sudeste,cartao,2,5,em_dia,0
74,24,969.63,,1,595.0,11789.7,36,3.51,1,2,0.734,0,0,0,0,site,Sul,emprestimo_pessoal,2,0,em_dia,0
75,54,2978.23,0.0,0,548.0,3457.79,18,4.39,3,0,0.304,0,5,0,0,app,Sudeste,cartao,1,16,default,1
76,43,13322.89,5.821413987480486,0,715.0,3217.76,60,1.67,1,1,0.384,1,15,0,0,app,Sudeste,emprestimo_pessoal,2,0,em_dia,0
77,35,2981.47,5.049140941137304,0,795.0,12604.07,6,1.13,1,2,0.131,0,0,1,0,app,Sudeste,cartao,3,0,em_dia,0
78,30,907.02,4.604258166031588,0,740.0,3366.46,48,2.3,1,3,0.116,1,5,0,0,app,Nordeste,emprestimo_pessoal,2,15,em_dia,0
79,47,14476.83,3.142736198358623,0,678.0,13264.08,12,2.62,1,1,0.789,1,0,0,1,app,Centro-Oeste,bnpl,3,15,em_atraso_leve,0
80,53,5838.99,10.914027882736304,0,595.0,17128.35,12,3.02,2,1,0.226,0,60,0,0,loja,Norte,cartao,2,15,em_dia,0
81,67,3320.96,5.770427644920423,0,626.0,17482.88,24,2.37,0,0,0.266,1,0,2,0,app,Sudeste,bnpl,2,0,em_dia,0
82,41,2649.05,5.733076568853293,0,740.0,3821.46,48,2.26,3,0,0.052,2,0,0,0,loja,Sudeste,emprestimo_pessoal,2,0,em_dia,0
83,26,7881.57,4.541226787514274,0,456.0,17508.6,18,4.91,0,1,0.465,0,60,0,0,app,Norte,emprestimo_pessoal,3,5,em_dia,0
84,62,2330.95,,1,619.0,10523.83,12,3.41,0,2,0.258,1,0,0,0,site,Nordeste,emprestimo_pessoal,3,0,em_dia,0
85,51,8280.93,4.350396330735583,0,712.0,4771.93,18,2.34,1,2,0.251,0,0,0,0,site,Nordeste,emprestimo_pessoal,3,0,em_dia,0
86,55,5256.21,3.6538248281979646,0,553.0,6986.3,9,3.13,4,1,0.37,0,30,0,1,parceiro,Sudeste,emprestimo_pessoal,3,0,em_dia,0
87,23,4205.0,0.0,0,686.0,11941.61,36,2.73,2,1,0.641,0,0,1,0,app,Sudeste,bnpl,0,98,default,1
88,34,3903.6,8.853284523318656,0,682.0,4515.51,48,2.72,1,1,0.597,0,15,0,0,app,Sul,cartao,2,5,em_dia,0
89,58,3069.57,7.77493817466989,0,526.0,10340.02,24,3.22,2,2,0.183,1,0,0,0,site,Sudeste,emprestimo_pessoal,3,15,em_dia,0
90,62,7667.52,8.365713870630056,0,657.0,27335.96,18,2.64,0,2,0.836,0,0,0,0,site,Sudeste,bnpl,2,0,em_dia,0
91,41,1828.98,,1,598.0,18153.97,24,3.52,0,1,0.4,1,0,0,0,site,Centro-Oeste,emprestimo_pessoal,0,107,default,1
92,60,1036.99,7.677656594152047,0,685.0,8577.39,24,2.52,1,0,0.241,0,0,1,0,app,Sudeste,cartao,1,78,default,1
93,62,5548.86,2.2218750821498867,0,707.0,9761.66,9,1.29,0,0,0.444,0,0,1,1,site,Norte,cartao,2,0,em_dia,0
94,38,,,1,684.0,5063.65,18,2.22,0,0,0.147,0,15,0,0,app,Norte,emprestimo_pessoal,2,0,em_dia,0
95,65,,,1,656.0,5186.35,24,2.43,1,0,0.207,0,30,0,0,app,Sul,bnpl,3,5,em_dia,0
96,33,4751.97,1.9144606189602964,0,675.0,2165.88,48,2.96,1,0,0.517,1,0,0,0,site,Centro-Oeste,emprestimo_pessoal,2,10,em_dia,0
97,30,2752.08,1.5309363903588746,1,550.0,9903.47,18,5.16,4,1,0.189,0,0,1,0,app,Sudeste,emprestimo_pessoal,3,0,em_dia,0
98,54,6317.82,3.765414631265327,0,647.0,14290.07,36,2.97,2,2,0.375,0,0,1,0,app,Sudeste,emprestimo_pessoal,2,15,em_dia,0
99,51,3382.43,0.5835112312561108,0,582.0,7532.48,36,2.8,1,1,0.629,0,15,0,0,app,Sudeste,emprestimo_pessoal,0,85,default,1
100,25,2428.87,7.913755717853037,0,738.0,3795.12,60,2.02,0,2,0.465,0,60,2,0,site,Nordeste,emprestimo_pessoal,3,0,em_dia,0
101,62,2769.99,7.825968155534378,0,708.0,8462.55,60,2.37,0,0,0.616,1,0,0,0,loja,Sudeste,emprestimo_pessoal,2,0,em_dia,0
102,28,15930.62,1.9108478785491663,0,708.0,25026.65,6,2.78,1,0,0.566,0,0,1,0,site,Sudeste,cartao,3,0,em_dia,0
103,60,952.69,9.1917324033051,0,796.0,17162.49,18,2.28,1,1,0.356,0,30,0,1,site,Norte,emprestimo_pessoal,3,5,em_dia,0
104,18,5091.66,3.1487354619728682,0,622.0,7802.06,36,3.87,2,1,0.164,0,0,0,0,app,Nordeste,emprestimo_pessoal,3,10,em_dia,0
105,60,993.45,7.504917564597166,0,603.0,45593.15,36,3.57,3,1,0.25,0,5,0,0,app,Sudeste,cartao,1,97,default,1
106,59,3227.11,8.817493254683894,0,620.0,60000.0,9,3.13,1,0,0.463,0,0,0,0,loja,Nordeste,bnpl,2,5,em_dia,0
107,59,2528.29,6.888771603155298,0,514.0,5319.19,24,4.86,0,1,0.137,0,0,2,1,app,Nordeste,emprestimo_pessoal,2,0,em_dia,0
108,53,800.0,8.045775099470571,0,520.0,6491.15,48,3.8,3,1,0.737,0,0,0,0,app,Nordeste,emprestimo_pessoal,3,0,em_dia,0
109,42,4685.82,7.0158930530722134,0,703.0,14422.26,12,2.44,5,2,0.172,0,5,0,1,site,Sudeste,emprestimo_pessoal,3,10,em_dia,0
110,55,2631.97,,1,531.0,3681.84,18,3.76,0,0,0.101,0,5,1,0,app,Sul,bnpl,1,107,default,1
111,32,800.0,2.408619272763595,0,559.0,16464.49,18,2.48,0,0,0.332,1,0,2,1,app,Sudeste,emprestimo_pessoal,2,0,em_dia,0
112,59,6569.51,11.776392305088681,0,641.0,8720.61,18,3.64,3,0,0.369,0,90,1,0,site,Nordeste,emprestimo_pessoal,2,5,em_dia,0
113,47,10267.85,3.307344610792983,0,615.0,10971.86,24,3.54,1,1,0.685,0,90,0,0,app,Sudeste,cartao,2,5,em_dia,0
114,42,10701.2,,1,725.0,4905.32,9,0.91,3,0,0.347,0,0,0,0,app,Sudeste,emprestimo_pessoal,3,0,em_dia,0
115,44,4581.29,6.068679437586733,0,655.0,4095.52,36,3.37,3,2,0.296,0,0,1,0,parceiro,Sudeste,cartao,2,15,em_dia,0
116,48,3623.02,2.966547517077275,0,582.0,1479.64,12,3.29,0,2,0.081,0,0,0,0,parceiro,Sul,emprestimo_pessoal,3,0,em_dia,0
117,19,9477.12,0.0,0,733.0,28261.64,36,2.69,1,0,0.47,0,0,1,1,parceiro,Sul,emprestimo_pessoal,2,0,em_dia,0
118,25,12361.05,1.1015179269555213,1,712.0,17808.41,6,2.37,0,1,0.288,1,0,2,0,app,Nordeste,emprestimo_pessoal,3,10,em_dia,0
119,31,8190.21,,1,530.0,14179.49,36,3.16,2,0,0.358,0,5,1,0,site,Sudeste,emprestimo_pessoal,2,5,em_dia,0
120,24,1727.39,0.0,0,671.0,10756.59,18,2.7,1,2,0.285,1,0,0,1,app,Nordeste,cartao,2,0,em_dia,0
121,41,4070.52,1.9797672111825353,0,589.0,1128.45,24,2.9,1,1,0.444,0,0,0,1,loja,Sudeste,bnpl,3,10,em_dia,0
122,53,4866.62,6.631780446220968,0,587.0,4224.94,12,2.74,0,0,0.187,1,5,0,0,app,Sul,emprestimo_pessoal,3,5,em_atraso_leve,0
123,52,900.82,10.010802544520097,0,809.0,6435.13,24,1.97,2,1,0.397,0,30,1,0,app,Centro-Oeste,emprestimo_pessoal,2,0,em_dia,0
124,42,4976.78,6.320369673107717,0,661.0,3190.88,12,2.99,2,1,0.135,0,0,0,0,parceiro,Sudeste,cartao,3,0,em_dia,0
125,63,19249.92,0.0,0,632.0,1896.38,6,3.85,1,0,0.004,1,30,0,0,app,Nordeste,emprestimo_pessoal,3,15,em_dia,0
126,47,5655.99,7.2245630016506475,0,657.0,3485.75,36,2.59,0,0,0.514,0,5,0,0,app,Sudeste,emprestimo_pessoal,3,5,em_dia,0
127,22,10567.92,0.026468749364987776,0,724.0,8341.25,12,1.7,1,0,0.394,0,0,2,1,app,Nordeste,emprestimo_pessoal,3,10,em_dia,0
128,58,4014.65,7.88578026140717,0,590.0,8343.07,60,3.74,0,1,0.349,0,0,1,0,site,Sudeste,emprestimo_pessoal,3,10,em_atraso_leve,0
129,48,3312.98,5.050526592762801,0,605.0,17302.24,24,2.8,1,1,0.173,0,0,1,0,site,Norte,emprestimo_pessoal,2,10,em_dia,0
130,51,4658.61,4.785593308696103,1,706.0,46207.6,6,2.21,3,0,0.35,0,5,0,0,app,Sudeste,emprestimo_pessoal,2,0,em_dia,0
131,47,1898.18,4.6221749521325055,0,521.0,14329.76,60,4.27,1,0,0.115,2,0,0,0,app,Sudeste,emprestimo_pessoal,2,15,em_dia,0
132,47,1698.82,4.90151492105577,0,734.0,6891.06,12,2.07,0,0,0.408,0,0,0,0,app,Nordeste,bnpl,0,25,default,1
133,22,9047.53,6.685417402315853,1,514.0,36955.67,36,3.78,0,0,0.208,0,0,0,0,app,Sudeste,emprestimo_pessoal,3,5,em_dia,0
134,47,9796.45,,1,629.0,2085.06,18,2.28,0,0,0.43,0,0,1,0,site,Centro-Oeste,emprestimo_pessoal,2,0,em_dia,0
135,60,1664.35,10.339376466134201,0,514.0,1366.74,24,4.56,1,0,0.586,1,0,0,1,loja,Sul,emprestimo_pessoal,3,0,em_dia,0
136,34,7233.78,6.7096705304598,0,560.0,3764.92,36,3.44,0,1,0.214,2,0,0,0,app,Sudeste,bnpl,2,10,em_dia,0
137,49,3279.01,7.554659416542785,0,760.0,15955.46,9,2.25,1,0,0.259,0,0,1,0,loja,Sul,bnpl,2,0,em_dia,0
138,19,4515.97,0.0,0,739.0,9232.39,36,2.36,2,1,0.216,0,90,1,0,app,Norte,emprestimo_pessoal,2,0,em_dia,0
139,36,4942.78,7.568214296565623,0,748.0,3065.98,12,2.62,0,2,0.397,2,0,0,0,loja,Sudeste,emprestimo_pessoal,0,42,default,1
140,41,7378.17,2.6573454705254416,0,527.0,4312.04,36,3.8,3,0,0.327,1,0,0,0,app,Sudeste,cartao,2,0,em_dia,0
141,70,3724.01,10.245045483761704,0,561.0,2784.81,12,3.45,1,3,0.329,0,30,0,0,app,Sudeste,bnpl,2,10,em_dia,0
142,29,10078.3,,1,679.0,2784.75,6,2.01,1,2,0.16,0,0,0,1,app,Centro-Oeste,emprestimo_pessoal,3,0,em_dia,0
143,32,4414.18,0.0,0,711.0,29899.47,12,2.04,3,1,0.458,0,60,0,0,parceiro,Centro-Oeste,cartao,2,5,em_dia,0
144,39,5589.56,10.937360578909196,0,582.0,7081.76,24,3.64,3,1,0.076,0,0,0,0,site,Sudeste,cartao,2,15,em_atraso_leve,0
145,70,1873.51,4.3905592660666,0,601.0,36002.43,60,2.84,0,1,0.435,1,0,1,0,loja,Nordeste,cartao,0,25,default,1
146,63,17668.04,10.911373236681115,0,554.0,3754.4,60,3.87,2,2,0.337,0,0,0,0,site,Nordeste,emprestimo_pessoal,2,0,em_dia,0
147,19,4978.52,2.0344711250278236,0,791.0,12144.76,36,2.45,0,0,0.37,0,0,0,0,parceiro,Sudeste,bnpl,3,0,em_atraso_leve,0
148,30,5974.56,1.4695797957393997,0,610.0,9703.26,36,2.97,3,1,0.601,1,15,1,1,app,Centro-Oeste,bnpl,3,5,em_dia,0
149,61,1047.73,6.503098904844277,0,653.0,16897.59,48,2.12,1,0,0.295,2,15,1,0,app,Sul,emprestimo_pessoal,2,15,em_dia,0
150,21,1888.41,0.0,0,657.0,9932.46,24,2.58,1,2,0.281,0,0,0,0,app,Norte,cartao,2,15,em_dia,0
151,63,8856.71,6.851859671367692,0,744.0,18481.36,12,1.27,2,1,0.326,0,0,0,0,app,Sul,emprestimo_pessoal,2,5,em_dia,0
152,32,4340.25,0.0,0,569.0,12813.63,24,4.3,0,0,0.168,0,60,0,0,app,Nordeste,emprestimo_pessoal,3,0,em_dia,0
153,66,833.12,5.87594671990105,0,749.0,3164.07,12,2.06,1,2,0.41,1,0,0,0,site,Sudeste,cartao,3,15,em_dia,0
154,33,,6.538548473893516,0,541.0,14913.24,36,3.41,0,0,0.293,0,0,0,0,site,Sul,emprestimo_pessoal,3,5,em_dia,0
155,41,2327.81,,1,749.0,7328.77,18,1.7,1,1,0.344,0,0,0,0,app,Centro-Oeste,cartao,3,0,em_dia,0
156,53,10087.03,0.5124032539181744,0,504.0,4133.94,12,3.48,0,0,0.227,1,0,2,0,parceiro,Sul,cartao,3,0,em_dia,0
157,24,3276.86,5.2002084441985446,0,641.0,14430.19,48,3.5,1,0,0.285,0,0,0,0,app,Sudeste,bnpl,3,10,em_dia,0
158,47,4080.8,4.955150833318002,0,788.0,17509.9,12,2.68,1,1,0.336,0,0,0,1,site,Nordeste,cartao,2,10,em_dia,0
159,44,8473.8,2.722351560567315,0,709.0,5303.73,60,1.53,3,0,0.269,0,30,0,0,site,Nordeste,emprestimo_pessoal,3,10,em_dia,0
160,59,1785.4,9.033367063681258,0,686.0,5938.53,60,3.13,2,2,0.295,0,0,0,0,parceiro,Norte,cartao,2,0,em_dia,0
161,70,,7.154776070580492,0,561.0,2460.56,24,3.5,0,0,0.269,0,0,0,1,loja,Nordeste,emprestimo_pessoal,2,0,em_atraso_leve,0
162,53,3020.4,1.6201853103300055,0,588.0,1725.34,36,4.1,2,1,0.494,0,0,0,0,app,Sudeste,emprestimo_pessoal,2,10,em_dia,0
163,39,6508.72,10.487333990073616,0,764.0,6510.91,6,0.87,0,0,0.586,0,15,0,0,site,Sul,cartao,2,15,em_dia,0
164,39,1289.95,3.9594939498815425,0,690.0,15684.73,18,2.64,2,1,0.194,0,0,1,0,app,Sudeste,cartao,3,15,em_dia,0
165,40,1001.74,3.85515178431224,0,726.0,4914.38,48,1.98,1,0,0.141,0,15,2,0,parceiro,Sul,emprestimo_pessoal,2,10,em_dia,0
166,61,6491.89,5.242131898942935,1,656.0,26925.29,6,3.18,1,2,0.267,0,0,1,0,loja,Sudeste,emprestimo_pessoal,2,0,em_atraso_leve,0
167,35,2226.72,7.6698800881015625,0,626.0,6720.27,12,3.11,2,0,0.348,1,5,1,0,app,Sudeste,emprestimo_pessoal,3,5,em_dia,0
168,26,2608.03,0.6229252215028593,0,715.0,6743.53,18,2.32,2,1,0.096,0,0,1,0,parceiro,Nordeste,emprestimo_pessoal,3,0,em_dia,0
169,35,869.49,0.0,0,672.0,6257.08,24,2.62,2,0,0.075,3,15,1,0,site,Sul,emprestimo_pessoal,1,36,default,1
170,19,2103.34,0.0,0,636.0,18426.6,36,3.85,3,1,0.046,1,0,1,1,app,Nordeste,cartao,3,5,em_dia,0
171,23,3480.19,6.743711101591774,1,530.0,3540.85,9,3.81,0,4,0.484,0,0,2,0,app,Nordeste,cartao,3,0,em_dia,0
172,22,7032.53,4.89246256509991,0,731.0,7169.42,12,2.64,1,1,0.183,0,0,1,0,app,Sudeste,emprestimo_pessoal,2,0,em_dia,0
173,58,1962.74,5.407445215690486,0,687.0,5023.74,36,2.89,2,1,0.05,2,0,0,1,site,Sudeste,emprestimo_pessoal,3,10,em_dia,0
174,56,12131.37,10.86639299574166,0,598.0,4963.49,12,3.81,3,1,0.324,0,0,2,0,parceiro,Sudeste,emprestimo_pessoal,2,10,em_dia,0
175,54,2094.57,8.43779780087659,0,750.0,8242.66,12,1.44,1,0,0.673,0,0,0,0,parceiro,Sudeste,bnpl,3,0,em_dia,0
176,42,2096.87,,1,671.0,7265.35,12,3.07,0,3,0.392,0,30,0,0,app,Sudeste,emprestimo_pessoal,2,15,em_dia,0
177,56,11087.09,5.479315507146221,0,672.0,19557.56,36,2.86,0,1,0.255,1,0,0,1,app,Sudeste,bnpl,2,0,em_dia,0
178,26,4101.52,3.6126120618090196,0,725.0,7927.07,6,1.56,1,0,0.047,1,0,0,0,parceiro,Nordeste,emprestimo_pessoal,1,85,default,1
179,65,2313.46,4.228395676176644,0,707.0,12822.44,12,2.26,0,0,0.383,0,0,1,0,site,Sudeste,emprestimo_pessoal,3,10,em_dia,0
